Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
19Jan19_Tst2,01/29/19 16:42, 1296222, 116, 714, 1183, 471, 5.82, 20.38
19Jan19_Tst2,01/29/19 17:21, 1264719, 116, 714, 1183, 471, 5.85, 20.56
19Jan19_Tst2,01/30/19 05:31, 1232508, 116, 715, 1183, 471, 5.82, 18.31
19Jan19_Tst2,01/30/19 08:01, 1303192, 116, 715, 1183, 471, 5.84, 18.56
19Jan19_Tst2,01/30/19 08:11, 1284604, 116, 714, 1183, 471, 5.82, 18.63
19Jan19_Tst2,01/30/19 08:13, 1244442, 116, 714, 1183, 471, 5.84, 18.63
19Jan19_Tst2,01/30/19 08:15, 1296222, 116, 714, 1183, 471, 5.81, 18.63
19Jan19_Tst2,01/30/19 08:18, 1244442, 116, 714, 1183, 471, 5.81, 18.63
19Jan19_Tst2,01/30/19 08:21, 1226680, 116, 714, 1183, 471, 5.83, 18.63
19Jan19_Tst2,01/30/19 08:23, 1209726, 116, 714, 1183, 471, 5.84, 18.69
19Jan19_Tst2,01/30/19 08:32, 1220942, 116, 714, 1183, 471, 5.85, 18.69
19Jan19_Tst2,01/30/19 09:19, 1215291, 116, 715, 1183, 471, 5.83, 18.69
19Jan19_Tst2,01/30/19 09:38, 1282630, 116, 715, 1183, 471, 5.81, 18.69
19Jan19_Tst2,01/30/19 09:45, 1353139, 116, 714, 1183, 471, 5.84, 18.75
19Jan19_Tst2,01/30/19 10:09, 1244442, 116, 715, 1183, 471, 5.81, 18.81
19Jan19_Tst2,01/30/19 10:40, 1248158, 116, 715, 1183, 471, 5.82, 18.88
19Jan19_Tst2,01/30/19 10:50, 1280236, 116, 715, 1183, 471, 5.84, 18.88
19Jan19_Tst2,01/30/19 10:56, 1244442, 116, 714, 1183, 471, 5.80, 18.94
19Jan19_Tst2,01/30/19 10:58, 1224286, 116, 714, 1183, 471, 5.81, 18.94
19Jan19_Tst2,01/30/19 12:49, 1244442, 116, 714, 1183, 471, 5.83, 19.13
19Jan19_Tst2,01/30/19 13:20, 1260676, 116, 714, 1183, 471, 5.83, 19.38
19Jan19_Tst2,01/30/19 13:35, 1238428, 116, 715, 1183, 471, 5.83, 19.38
19Jan19_Tst2,01/30/19 13:37, 1284604, 116, 714, 1183, 471, 5.85, 19.44
19Jan19_Tst2,01/30/19 13:40, 1324837, 116, 714, 1183, 471, 5.82, 19.44
19Jan19_Tst2,01/30/19 13:43, 1296222, 116, 715, 1183, 471, 5.81, 19.50
19Jan19_Tst2,01/30/19 13:50, 1216178, 116, 714, 1183, 471, 5.83, 19.56
19Jan19_Tst2,01/30/19 13:55, 1267089, 116, 714, 1183, 471, 5.84, 19.56
19Jan19_Tst2,01/30/19 13:57, 1183119, 116, 714, 1183, 471, 5.80, 19.56
19Jan19_Tst2,01/30/19 13:59, 1300798, 116, 714, 1183, 471, 5.83, 19.63
19Jan19_Tst2,01/30/19 14:02, 1303192, 116, 714, 1183, 471, 5.82, 19.63
19Jan19_Tst2,01/30/19 14:06, 1232508, 116, 715, 1183, 471, 5.83, 19.63
19Jan19_Tst2,01/30/19 14:09, 1300798, 116, 714, 1183, 471, 5.81, 19.63
19Jan19_Tst2,01/30/19 14:12, 1238428, 116, 714, 1183, 471, 5.82, 19.69
19Jan19_Tst2,01/30/19 14:20, 1254367, 116, 714, 1183, 471, 5.81, 19.75
19Jan19_Tst2,01/30/19 14:22, 1196451, 116, 714, 1183, 471, 5.85, 19.69
19Jan19_Tst2,01/30/19 14:28, 1204245, 116, 714, 1183, 471, 5.83, 19.69
19Jan19_Tst2,01/30/19 14:40, 1276002, 116, 714, 1183, 471, 5.84, 19.81
19Jan19_Tst2,01/30/19 14:55, 1347651, 116, 714, 1183, 471, 5.83, 19.94
19Jan19_Tst2,01/30/19 14:57, 1226680, 116, 714, 1183, 471, 5.83, 19.94
19Jan19_Tst2,01/30/19 15:01, 1335147, 116, 715, 1183, 471, 5.83, 20.00
